key,ru,en
"about.contact_text","Если есть идеи или предложения, напишите основателю в поддержку — мы быстро реагируем на фидбек.","Have an idea? Ping the founder via support chat — we iterate fast on real feedback."
"about.faq.cashback_a","Бонусы начисляются только на денежную часть платежа по текущему уровню клиента. Если включена опция «Начислять при смешанной оплате», учитываем сумму после списания баллов.","We apply the current tier percentage only to the amount paid with money. If the mixed-payment option is enabled, we accrue bonuses after subtracting spent points."
"about.faq.cashback_q","Как считается кешбэк?","How is cashback calculated?"
"about.faq.downgrade_a","Используйте поле «Срок до сброса уровня». Если клиент не совершает покупок указанное количество дней, уровень автоматически снижается.","Use the downgrade setting to reduce a tier after N inactive days automatically."
"about.faq.downgrade_q","Что происходит при простое клиента?","What happens when a client is inactive?"
"about.faq.staff_a","Владелец может менять настройки, увольнять сотрудников и удалять точки. Менеджер в режиме только чтение и не видит критичные действия.","PARTNER_ADMIN can update settings, delete points and fire staff. PARTNER_MANAGER has read-only access without destructive actions."
"about.faq.staff_q","Чем отличаются владелец и менеджер?","What is the difference between owner and manager?"
"about.faq.title","FAQ — популярные вопросы","FAQ"
"about.faq.visits_a","Да. Во вкладке настроек укажите целевое количество визитов. Новое значение применяется ко всем новым посетителям.","Yes, adjust the visit target in settings and it will be applied for new customers."
"about.faq.visits_q","Можно ли изменить цель по визитам?","Can I change the visit target?"
"about.items.architecture","Масштабируемая архитектура: единый бэкенд + веб + мобильное приложение.","Scalable architecture: shared backend + admin web + mobile app."
"about.items.localization","Локализация и удобные интерфейсы на многих языках","Localization and UI tailored for Russian/English speaking teams."
"about.items.security","Безопасность: централизованная работа с токенами, контроль прав и журналирование действий.","Security first: centralized token handling, RBAC enforcement and audit logs."
"about.items.soon","Скоро: расширенная аналитика, коммуникации и автоматизация флоу","Coming soon: advanced analytics, communication layer and marketing automation."
"about.loyalty_types.hybrid_desc","Кассир выбирает стратегию после сканирования: либо начислить визит, либо рассчитать кешбэк с возможностью списания баллов.","After scanning QR the cashier selects either visit or tiered cashback with optional point burning."
"about.loyalty_types.hybrid_title","Гибридная: Накопительная + Счетчик визитов","HYBRID: visits + cashback"
"about.loyalty_types.tiered_desc","Клиент копит оборот, повышает уровень и получает больший кешбэк. Проценты задаются по уровням: Start, Silver, Gold.","Customers climb tiers by spending more and receive a higher cashback percentage. Configure Start, Silver and Gold levels."
"about.loyalty_types.tiered_title","Накопительная","Tiered cashback (LTV)"
"about.loyalty_types.title","Варианты систем лояльности","Available loyalty programs"
